ioc_value,ioc_type,threat_tags,tlp,confidence,misp_event_id,misp_event_uuid,misp_event_info,first_seen,last_seen,timestamp,category,to_ids,sync_time,sync_epoch
203.0.113.77,ip-src,,tlp:amber,medium,1,7360cc96-6431-4bff-895d-e17f4da072d5,Copilot IOC sync smoke test 2026-04-26T19:58:01.246903Z,,,1777233481,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
ameteksen.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113222,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
asconline.we11point.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113222,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
assso.net,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113222,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
capstoneturbine.cechire.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113222,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
caref1rst.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113222,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
careflrst.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113223,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
empireb1ue.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113223,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
extcitrix.we11point.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113223,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
facefuture.us,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113223,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
gifas.blogsite.org,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113223,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
gifas.cechire.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113223,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
healthslie.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113224,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
hrsolutions.we11point.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113224,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
icbcqsz.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113224,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
me.we11point.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113224,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
mycitrix.we11point.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113224,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
myhr.we11point.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113225,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
oa.ameteksen.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113225,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
oa.technical-requre.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113225,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
oa.trustneser.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113225,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
polarroute.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113225,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
prennera.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113225,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
savmpet.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113226,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
sharepoint-vaeit.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113226,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
sinmoung.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113226,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
ssl-vaeit.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113226,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
ssl-vait.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113226,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
topsec2014.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113227,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
vipreclod.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113227,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
vpn.we11point.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113227,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
we11point.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113227,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
webmail.kaspersyk.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113227,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
webmail.vipreclod.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113227,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
wiki-vaeit.com,domain,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113228,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
www.we11point.com,hostname,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113228,Network activity,True,2026-04-28T13:18:02.130480Z,1777382282
019a5f531f324d5528ccc09faa617f42,md5,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113300,Payload delivery,True,2026-04-28T13:18:02.130480Z,1777382282
01c45a203526978a7d8d0457594fafbf,md5,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113300,Payload delivery,True,2026-04-28T13:18:02.130480Z,1777382282
023ef99bc3c84b8df3f837454c0e1629,md5,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113301,Payload delivery,True,2026-04-28T13:18:02.130480Z,1777382282
0334b1043c62d48525a29aeb95afcb09,md5,type:OSINT,tlp:white,medium,2,55b7c901-614c-44d1-a638-440e950d210b,"OSINT Black Vine: Formidable cyberespionage group targeted aerospace, healthcare since 2012 by Symantec",,,1438113301,Payload delivery,True,2026-04-28T13:18:02.130480Z,1777382282
